name,country,birth_date,discipline,age,gender,height_in_m,height_in_feet,birth_place,birth_country,residence_place,residence_country,event_name,event_rank,event_medal
ACHONWA Natalie,Canada,22 Nov 1992,Basketball,28,Female,1.91,6'3'',"TORONTO, ON",Canada,,,Women,9,NA
ACHOURI Haikel,Tunisia,29 Aug 1984,Wrestling,36,Male,NA,NA,,,TUNIS,Tunisia,Men's Greco-Roman 97kg,16,NA
ACIN Nikola,Serbia,19 Dec 1999,Swimming,21,Male,NA,NA,,,"WEST LAFAYETTE, IN",United States of America,Men's 4 x 100m Freestyle Relay,,NA
ACKERMANN Simone,South Africa,1 Feb 1990,Triathlon,31,Female,NA,NA,EAST LONDON,South Africa,NEW ZEALAND,,Women's Individual,17,NA
ACOSTA Briseida,Mexico,30 Aug 1993,Taekwondo,27,Female,NA,NA,"NAVOLATO",Mexico,"MIAMI, FL",United States of America,Women +67kg,11,NA
ACOSTA FERNANDEZ Yasmani,Chile,16 Jul 1988,Wrestling,33,Male,NA,NA,,Cuba,CHILE,,Men's Greco-Roman 130kg,5,NA
ACOSTA GIRALDO Valentina,Colombia,20 Apr 2000,Archery,21,Female,NA,NA,RISARALDA,Colombia,PEREIRA,Colombia,Women's Individual,33,NA
ACOSTA GIRALDO Valentina,Colombia,20 Apr 2000,Archery,21,Female,NA,NA,RISARALDA,Colombia,PEREIRA,Colombia,Mixed Team,26,NA
ACOSTA Marcelo,El Salvador,11 Jul 1996,Swimming,25,Male,NA,NA,,El Salvador,,,Men's 800m Freestyle,,NA
ACOSTA Marcelo,El Salvador,11 Jul 1996,Swimming,25,Male,NA,NA,,El Salvador,,,Men's 1500m Freestyle,,NA
ACUNA Yenny,Chile,18 May 1997,Football,24,Female,1.61,5'3'',IQUIQUE,Chile,SANTIAGO,Chile,Women,11,NA
ADACHI Kazuya,Japan,23 Oct 1990,Canoe Slalom,30,Male,NA,NA,SAGAMIHARA,Japan,HAGI,Japan,Men's Kayak,16,NA
ADACHI Seiya,Japan,24 Jun 1995,Water Polo,26,Male,1.72,5'7'',KAKAMIGAHARA,Japan,,,Men,10,NA
ADAM Amal,Egypt,24 Dec 1981,Archery,39,Female,NA,NA,,,,,Women's Individual,33,NA
ADAM Amal,Egypt,24 Dec 1981,Archery,39,Female,NA,NA,,,,,Mixed Team,29,NA
ADAM Constantin,Romania,12 Jul 1996,Rowing,25,Male,2.03,6'7'',CALARASI,Romania,SILISTEA SNAGOVULUI,Romania,Men's Eight,7,NA
ADAMEK Klaudia,Poland,22 Mar 1999,Athletics,22,Female,NA,NA,,,PILA,Poland,Women's 4 x 100m Relay,,NA
ADAMKIEWICZ Patrycja,Poland,11 Jun 1998,Taekwondo,23,Female,NA,NA,,,POLAND,,Women -57kg,11,NA
ADAMS Liam,Australia,4 Sep 1986,Athletics,34,Male,NA,NA,"MELBOURNE, VIC",Australia,"MELBOURNE, VIC",Australia,Men's Marathon,24,NA
ADAMS Paul,Australia,4 Jun 1992,Shooting,29,Male,1.85,6'0'',"TOOWOOMBA, QLD",Australia,"BRISBANE, QLD",Australia,Skeet Men,21,NA
ADAMS Taeyanna,Federated States of Micronesia,14 Mar 2002,Swimming,19,Female,NA,NA,"KONA, HI",United States of America,FEDERATED STATES OF MICRONESIA,,Women's 100m Breaststroke,,NA
ADAMS Valerie,New Zealand,6 Oct 1984,Athletics,36,Female,NA,NA,ROTORUA,New Zealand,AUCKLAND,New Zealand,Women's Shot Put,3,Bronze
ADAMUS Bartlomiej Stefan,Poland,12 May 2000,Weightlifting,21,Male,1.83,6'0'',,,,,Men's 96kg,7,NA
ADAR Yasemin,Turkey,6 Dec 1991,Wrestling,29,Female,NA,NA,BALIKESIR,Turkey,EDIRNE,Turkey,Women's Freestyle 76kg,3,Bronze
ADEBAYO Bam,United States of America,18 Jul 1997,Basketball,24,Male,2.06,6'9'',"NEWARK, NJ",United States of America,,,Men,1,Gold
ADEGOKE Enoch,Nigeria,8 Mar 2000,Athletics,21,Male,NA,NA,,,SHAKI,Nigeria,Men's 100m,DNF,NA
ADEKUOROYE Odunayo Folasade,Nigeria,10 Dec 1993,Wrestling,27,Female,NA,NA,AKURE,Nigeria,,,Women's Freestyle 57kg,13,NA
ADEL Ibrahim,Egypt,23 Apr 2001,Football,20,Male,1.78,5'10'',PORT SAID,Egypt,,,Men,8,NA
ADENIYI Aminat Oluwafunmilayo,Nigeria,21 Apr 1993,Wrestling,28,Female,NA,NA,AKURE,Nigeria,LAGOS,Nigeria,Women's Freestyle 62kg,16,NA
ADESOKAN Dorcas Ajoke,Nigeria,5 Jul 1998,Badminton,23,Female,NA,NA,,Nigeria,ABEOKUTA,Nigeria,Women's Singles,15,NA
ADILKHANOVA Alina,Kazakhstan,26 Sep 2001,Rhythmic Gymnastics,19,Female,NA,NA,KARAGANDA,Kazakhstan,SHYMKENT,Kazakhstan,Individual All-Around,,NA
ADLERTEG Jonna,Sweden,6 Jun 1995,Artistic Gymnastics,26,Female,NA,NA,VASTERAS,Sweden,VASTERAS,Sweden,Women's Uneven Bars,,NA
ADLINGTON Sarah,Great Britain,5 Aug 1986,Judo,35,Female,1.86,6'1'',SHREWSBURY,Great Britain,EDINBURGH,Great Britain,Women +78 kg,17,NA
ADO Pauline,France,14 Feb 1991,Surfing,30,Female,NA,NA,BAYONNE,France,ANGLET,France,Women,9,NA
ADOLF Balazs,Hungary,5 Sep 1999,Canoe Sprint,21,Male,1.88,6'2'',,,,,Men's Canoe Single 1000m,15,NA
ADOLF Balazs,Hungary,5 Sep 1999,Canoe Sprint,21,Male,1.88,6'2'',,,,,Men's Canoe Double 1000m,11,NA
ADOMAVICIUS Aurimas,Lithuania,23 Sep 1993,Rowing,27,Male,NA,NA,KAUNAS,Lithuania,KAUNAS,Lithuania,Men's Double Sculls,12,NA
AEDO Yanara,Chile,5 Aug 1993,Football,28,Female,1.55,5'1'',TEMUCO,Chile,MADRID,Spain,Women,11,NA
AERNOUDTS Violaine,France,23 Oct 1999,Rowing,21,Female,1.73,5'8'',ALENCON,France,LILLE,France,Women's Quadruple Sculls,9,NA
AFANADOR Brian,Puerto Rico,6 Mar 1997,Table Tennis,24,Male,NA,NA,UTUADO,Puerto Rico,PUERTO RICO,,Men's Singles,49,NA
AFONSO Paixao,Angola,2 Jan 1991,Sailing,30,Male,1.77,5'9'',LUANDA,Angola,,,Men's Two Person Dinghy - 470,19,NA
AFONSO Salome,Portugal,19 Nov 1997,Athletics,23,Female,NA,NA,LISBON,Portugal,LISBON,Portugal,Women's 1500m,,NA
AFOUMBA Gilles Anthony,Congo,14 Jun 1996,Athletics,25,Male,NA,NA,,,FRANCE,,Men's 400m,,NA
AFREMOVA Natalia,ROC,14 Nov 1998,Cycling BMX Racing,22,Female,1.64,5'4'',PENZA,Russian Federation,PENZA,Russian Federation,Women,10,NA
AFRIAT Charlotte,Monaco,17 Oct 2002,Athletics,18,Female,NA,NA,NICE,France,MONACO,,Women's 100m,,NA
AGADA Caleb,Nigeria,31 Aug 1994,Basketball,26,Male,1.91,6'3'',"BURLINGTON, ON",Canada,,,Men,10,NA
AGAHOZO Alphonsine,Rwanda,18 Oct 1997,Swimming,23,Female,NA,NA,,Rwanda,,,Women's 50m Freestyle,,NA
AGARD Terrence,Netherlands,16 Apr 1990,Athletics,31,Male,NA,NA,,,,,Men's 4 x 400m Relay,2,Silver
AGARIE Yuto,Japan,6 Jul 1993,Handball,28,Male,NA,NA,URASOE,Japan,JAPAN,,Men,11,NA
AGATSUMA Haruka,Japan,18 Dec 1994,Baseball/Softball,26,Female,1.72,5'7'',,,,,Softball,1,Gold
AGBEGNENOU Clarisse,France,25 Oct 1992,Judo,28,Female,NA,NA,RENNES,France,,,Women -63 kg,1,Gold
AGBEGNENOU Clarisse,France,25 Oct 1992,Judo,28,Female,NA,NA,RENNES,France,,,Mixed Team,1,Gold
AGERO Eden,Kenya,17 Sep 1990,Rugby Sevens,30,Male,1.83,6'0'',,,,,Men,9,NA
AGGEFORS Mikael,Sweden,20 Jan 1985,Handball,36,Male,1.91,6'3'',TUMBA,Sweden,AALBORG,Denmark,Men,5,NA
AGHAEIHAJIAGHA Soraya,Islamic Republic of Iran,28 Jan 1996,Badminton,25,Female,NA,NA,TEHRAN,Islamic Republic of Iran,,,Women's Singles,15,NA
AGHAMIROVA Zohra,Azerbaijan,8 Aug 2001,Rhythmic Gymnastics,20,Female,1.54,5'0'',BAKU,Azerbaijan,,,Individual All-Around,,NA
AGHAMIRZAEIJENAGHRAD Ali,Islamic Republic of Iran,4 Mar 1993,Canoe Sprint,28,Male,NA,NA,,,BANDAR-E ANZALI,Islamic Republic of Iran,Men's Kayak Single 1000m,23,NA
AGHASYAN Levon,Armenia,19 Jan 1995,Athletics,26,Male,NA,NA,KAPAN,Armenia,YEREVAN,Armenia,Men's Triple Jump,,NA
